teamId,location,name,abbreviation,displayName,shortDisplayName,color,alternateColor,logoURL,venueId,slug
100,Numancia,Numancia,NUM,Numancia,Numancia,C42A32,1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500/100.png,7349,esp.numancia
101,Rayo Vallecano,Rayo Vallecano,RAY,Rayo Vallecano,Rayo,ffffff,cd0000,https://a.espncdn.com/i/teamlogos/soccer/500/101.png,4645,esp.rayo_vallecano
102,Villarreal,Villarreal,VIL,Villarreal,Villarreal,ffff00,6cace4,https://a.espncdn.com/i/teamlogos/soccer/500/102.png,1630,esp.villarreal
103,AC Milan,AC Milan,MIL,AC Milan,Milan,e4002b,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/103.png,1642,ita.ac_milan
104,AS Roma,AS Roma,ROMA,AS Roma,AS Roma,990a2c,eae9e7,https://a.espncdn.com/i/teamlogos/soccer/500/104.png,8,ita.as_roma
105,Atalanta,Atalanta,ATA,Atalanta,Atalanta,1157bf,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/105.png,4253,ita.atalanta
106,Bari,Bari,BAR,Bari,Bari,aa0001,000000,https://a.espncdn.com/i/teamlogos/soccer/500/106.png,2421,ita.bari
107,Bologna,Bologna,BOL,Bologna,Bologna,04043d,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/107.png,2792,ita.bologna
108,Brescia,Brescia,BRE,Brescia,Brescia,006bb9,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/108.png,6,ita.brescia
109,Fiorentina,Fiorentina,FIO,Fiorentina,Fiorentina,4c1d84,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/109.png,2588,ita.fiorentina
110,Internazionale,Internazionale,INT,Internazionale,Inter Milan,00239c,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/110.png,1642,ita.inter_milan
111,Juventus,Juventus,JUV,Juventus,Juventus,000000,ffef32,https://a.espncdn.com/i/teamlogos/soccer/500/111.png,4600,ita.juventus
112,Lazio,Lazio,LAZ,Lazio,Lazio,74bde7,ffef32,https://a.espncdn.com/i/teamlogos/soccer/500/112.png,8,ita.lazio_rome
113,Lecce,Lecce,LEC,Lecce,Lecce,e4002b,08305d,https://a.espncdn.com/i/teamlogos/soccer/500/113.png,25,ita.lecce
114,Napoli,Napoli,NAP,Napoli,Napoli,0677d2,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/114.png,2991,ita.napoli
115,Parma,Parma,PAR,Parma,Parma,19161D,ffdd30,https://a.espncdn.com/i/teamlogos/soccer/500/115.png,2594,ita.parma
118,Udinese,Udinese,UDI,Udinese,Udinese,19161D,ffef32,https://a.espncdn.com/i/teamlogos/soccer/500/118.png,1790,ita.udinese
119,Hellas Verona,Hellas Verona,VER,Hellas Verona,Verona,00239c,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/119.png,2592,ita.verona
121,VfL Bochum,VfL Bochum,BOC,VfL Bochum,Bochum,000055,aac4f2,https://a.espncdn.com/i/teamlogos/soccer/500/121.png,2996,ger.vfl_bochum
122,FC Cologne,FC Cologne,KOE,FC Cologne,Cologne,ffffff,DA0308,https://a.espncdn.com/i/teamlogos/soccer/500/122.png,3857,ger.1_fc_kln
123,Energie Cottbus,Energie Cottbus,COT,Energie Cottbus,Cottbus,cc0000,ffff00,,335,ger.energy_cottbus
124,Borussia Dortmund,Borussia Dortmund,DOR,Borussia Dortmund,Dortmund,ffee00,272726,https://a.espncdn.com/i/teamlogos/soccer/500/124.png,2315,ger.dortmund
125,Eintracht Frankfurt,Eintracht Frankfurt,SGE,Eintracht Frankfurt,Frankfurt,ffffff,272726,https://a.espncdn.com/i/teamlogos/soccer/500/125.png,2318,ger.frankfurt
126,SC Freiburg,SC Freiburg,SCF,SC Freiburg,Freiburg,DA0308,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/126.png,8842,ger.freiburg
127,Hamburg SV,Hamburg SV,HSV,Hamburg SV,Hamburg,1a26af,1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500/127.png,2995,ger.hamburg
