seasonType,year,seasonName,seasonSlug,leagueId,midsizeName,leagueName,leagueShortName
13138,2024,"2024 Arabian Gulf Cup, Semifinals",semifinals,23107,GLOBAL.GULF_CUP,Arabian Gulf Cup,Arabian Gulf Cup
12516,2024,"2024 Maurice Revello Tournament, Group Stage",group-stage,11109,GLOBAL.TOULON,Maurice Revello Tournament,Toulon Tournament
12515,2024,"2024 Maurice Revello Tournament, Classification Matches",classification-matches,11109,GLOBAL.TOULON,Maurice Revello Tournament,Toulon Tournament
12513,2024,"2024 Maurice Revello Tournament, Final",final,11109,GLOBAL.TOULON,Maurice Revello Tournament,Toulon Tournament
12514,2024,"2024 Maurice Revello Tournament, 3rd-Place Match",3rd-place-match,11109,GLOBAL.TOULON,Maurice Revello Tournament,Toulon Tournament
12836,2024,2024 U20 Intercontinental Cup,2024-u20-intercontinental-cup,22781,GLOBAL.U20.INTERCONTINENTAL_CUP,CONMEBOL-UEFA U20 Intercontinental Cup,U20 Intercontinental Cup
12815,2024,"2024-25 Greek Super League, Regular Season",regular-season,3955,GRE.1,Greek Super League,Greek Super League
12814,2024,"2024-25 Greek Super League, Playoff Round",playoff-round,3955,GRE.1,Greek Super League,Greek Super League
12620,2024,"2024-25 Liga Nacional de Guatemala, Torneo Apertura",torneo-apertura,3928,GUA.1,Guatemalan Liga Nacional,Guatemalan Liga Nacional
12614,2024,"2024-25 Liga Nacional de Guatemala, Clausura - Semifinals",clausura---semifinals,3928,GUA.1,Guatemalan Liga Nacional,Guatemalan Liga Nacional
12615,2024,"2024-25 Liga Nacional de Guatemala, Clausura - Quarterfinals",clausura---quarterfinals,3928,GUA.1,Guatemalan Liga Nacional,Guatemalan Liga Nacional
12616,2024,"2024-25 Liga Nacional de Guatemala, Torneo Clausura",torneo-clausura,3928,GUA.1,Guatemalan Liga Nacional,Guatemalan Liga Nacional
12617,2024,"2024-25 Liga Nacional de Guatemala, Apertura - Finals",apertura---finals,3928,GUA.1,Guatemalan Liga Nacional,Guatemalan Liga Nacional
12619,2024,"2024-25 Liga Nacional de Guatemala, Apertura - Quarterfinals",apertura---quarterfinals,3928,GUA.1,Guatemalan Liga Nacional,Guatemalan Liga Nacional
12618,2024,"2024-25 Liga Nacional de Guatemala, Apertura - Semifinals",apertura---semifinals,3928,GUA.1,Guatemalan Liga Nacional,Guatemalan Liga Nacional
12613,2024,"2024-25 Liga Nacional de Guatemala, Clausura - Final",clausura---final,3928,GUA.1,Guatemalan Liga Nacional,Guatemalan Liga Nacional
12786,2024,"2024-25 Honduran Liga Nacional, Clausura Playoffs- Quarterfinals",clausura-playoffs--quarterfinals,3929,HON.1,Honduran Liga Nacional,Honduran Liga Nacional
12787,2024,"2024-25 Honduran Liga Nacional, Torneo Clausura 2024",torneo-clausura-2024,3929,HON.1,Honduran Liga Nacional,Honduran Liga Nacional
12788,2024,"2024-25 Honduran Liga Nacional, Apertura Playoffs - Final",apertura-playoffs---final,3929,HON.1,Honduran Liga Nacional,Honduran Liga Nacional
12791,2024,"2024-25 Honduran Liga Nacional, Torneo Apertura 2024",torneo-apertura-2024,3929,HON.1,Honduran Liga Nacional,Honduran Liga Nacional
12789,2024,"2024-25 Honduran Liga Nacional, Apertura Playoffs - Semifinals",apertura-playoffs---semifinals,3929,HON.1,Honduran Liga Nacional,Honduran Liga Nacional
12790,2024,"2024-25 Honduran Liga Nacional, Apertura Playoffs- Quarterfinals",apertura-playoffs--quarterfinals,3929,HON.1,Honduran Liga Nacional,Honduran Liga Nacional
12785,2024,"2024-25 Honduran Liga Nacional, Clausura Playoffs- Semifinals",clausura-playoffs--semifinals,3929,HON.1,Honduran Liga Nacional,Honduran Liga Nacional
12844,2024,"2024-25 Indonesian Liga 1, Regular Season",regular-season,8339,IDN.1,Indonesian Liga 1,Indonesian Liga 1
12877,2024,"2024-25 Indian Super League, Final",final,8316,IND.1,Indian Super League,Indian Super League
12878,2024,"2024-25 Indian Super League, Semifinals",semifinals,8316,IND.1,Indian Super League,Indian Super League
12879,2024,"2024-25 Indian Super League, Knockout Round",knockout-round,8316,IND.1,Indian Super League,Indian Super League
12880,2024,"2024-25 Indian Super League, Regular Season",regular-season,8316,IND.1,Indian Super League,Indian Super League
12993,2024,"2024-25 Indian I-League, Regular Season",regular-season,18505,IND.2,Indian I-League,Indian I-League
12994,2024,2024 League of Ireland Premier - Promotion/Relegation Playoff,2024-league-of-ireland-premier---promotionrelegation-playoff,19951,IR1.1.PROMOTION.RELEGATION,Irish Premier Division Promotion/Relegation Playoffs,Irish Premier Pro/Rel
12285,2024,2024 League of Ireland Premier,2024-league-of-ireland-premier,3930,IRL.1,Irish Premier Division,Irish Premier Division
12700,2024,"2024-25 Israeli Premier League, Second Round",second-round,10750,ISR.1,Israeli Premier League,Israeli Premier League
12701,2024,"2024-25 Israeli Premier League, Regular Season",regular-season,10750,ISR.1,Israeli Premier League,Israeli Premier League
12750,2024,2024-25 Italian Serie A,2024-25-italian-serie-a,730,ITA.1,Italian Serie A,Serie A
12777,2024,"2024-25 Italian Serie B, Relegation Finals",relegation-finals,3931,ITA.2,Italian Serie B,Italian Serie B
